Tipo Autorizzazione,Unità Locale,Cod. Impianto,Denominazione,Gestore,Prov.,Comune,Indirizzo,Latitudine,Longitudine,Colonna georeferenziata
Procedura semplificata/AUA,"SPILIMBERGO Zona Industriale Nord, 36/A",PN-COM-226,"Impianto di messa in riserva SPILIMBERGO Zona Industriale Nord, 36/A",MANSUTTI RECYCLING DI MANSUTTI JONNI,PN,SPILIMBERGO,"Zona Industriale Nord,36/A",46.139908,12.872179,POINT (12.872179 46.139908)
Procedura semplificata/AUA,"TRIESTE Androna Campo Marzio, 2/c",COM_629,"Impianto di messa in riserva TRIESTE Androna Campo Marzio, 2/c",MARIO NOVATO,TS,TRIESTE,"Androna Campo Marzio,2/C",45.644434,13.75719,POINT (13.75719 45.644434)
Procedura semplificata/AUA,"BRUGNERA Via Taglio, 60",PN-COM-279,"Impianto di recupero energetico BRUGNERA Via Taglio, 60",MARONESE INTERNATIONAL S.R.L.,PN,BRUGNERA,"Maron Via Taglio,60",45.909355,12.557023,POINT (12.557023 45.909355)
Procedura semplificata/AUA,"MORSANO AL TAGLIAMENTO Via Santa Elisabetta, 9",PN-COM-201,"Impianto di recupero inerti MORSANO AL TAGLIAMENTO Via Santa Elisabetta, 9",MARTINIS RECYCLING DI MARTINIS GRAZIANO,PN,MORSANO AL TAGLIAMENTO,"San Paolo Via Santa Elisabetta,9",45.87244,12.941111,POINT (12.941111 45.87244)
Procedura semplificata/AUA,BUTTRIO Strada comunale di Pavia,COM_1009,Impianto di recupero inerti BUTTRIO Strada comunale di Pavia,MERLINO GUIDO & C. SNC DI MERLINO LUCIANO & MAURO,UD,BUTTRIO,Strada Comunale di Pavia,46.005024,13.320472,POINT (13.320472 46.005024)
Procedura semplificata/AUA,"TRIESTE Via Caboto, 20",COM_626,"Impianto di recupero metalli TRIESTE Via Caboto, 20",METFER SRL,TS,TRIESTE,"Via Giovanni e Sebastiano Caboto,20",45.617774,13.807387,POINT (13.807387 45.617774)
Autorizzazione unica (ordinaria),TRIESTE Strada della Rosandra,TS_TS00649,Impianto di recupero metalli TRIESTE Strada della Rosandra,METFER SRL,TS,TRIESTE,Strada della Rosandra,45.612724,13.824481,POINT (13.824481 45.612724)
Procedura semplificata/AUA,"VIVARO Via San Marco, 28",PN-COM-281,"Impianto di recupero VIVARO Via San Marco, 28",MICRO METAL SRL,PN,VIVARO,"Via San Marco,28",46.091816,12.766028,POINT (12.766028 46.091816)
Procedura semplificata/AUA,"AZZANO DECIMO Via Passo, 68",PN-COM-7,"Impianto di recupero metalli AZZANO DECIMO Via Passo, 68",MINUDEL MAURO,PN,AZZANO DECIMO,"Corva Via Passo,68",45.915338,12.675944,POINT (12.675944 45.915338)
Procedura semplificata/AUA,"PORDENONE Via Maestra Vecchia, 40",UL-PN-COM-31_002,"Impianto di recupero metalli PORDENONE Via Maestra Vecchia, 40",MITTELFER SRL,PN,PORDENONE,"stradario 02130 Via Maestra Vecchia,40",45.978266,12.667215,POINT (12.667215 45.978266)
Procedura semplificata/AUA,"PASIANO DI PORDENONE Via Gallopat, 33",PN-COM-123,"Impianto di recupero energetico PASIANO DI PORDENONE Via Gallopat, 33",MOBILIFICIO SAN GIACOMO S.P.A.,PN,PASIANO DI PORDENONE,"Cecchini Via Gallopat,33",45.875666,12.619101,POINT (12.619101 45.875666)
Procedura semplificata/AUA,"PRATA DI PORDENONE Via Manin, 34",PN-COM-118,"Impianto di recupero energetico PRATA DI PORDENONE Via Manin, 34","MOBILIFICIO SANTA LUCIA S.P.A. IN FORMA ABBREVIATA ""SANTA LUCIA MOBILI S.P.A.""",PN,PRATA DI PORDENONE,"Via Daniele Manin,34",45.890771,12.593463,POINT (12.593463 45.890771)
Procedura semplificata/AUA,"PRATA DI PORDENONE Via Casali Sagree, 21",PN-COM-229,"Impianto di recupero energetico PRATA DI PORDENONE Via Casali Sagree, 21","MOBILIFICIO SANTA LUCIA S.P.A. IN FORMA ABBREVIATA ""SANTA LUCIA MOBILI S.P.A.""",PN,PRATA DI PORDENONE,"Villanova Via Casali Sagree,21",45.886315,12.56896,POINT (12.56896 45.886315)
Autorizzazione unica (ordinaria),"FARRA D'ISONZO Via Gorizia, 142",GO_GO005000,"Impianto di autodemolizione FARRA D'ISONZO Via Gorizia, 142",MODULOR DI GIUSTIZIERI FABRIZIO,GO,FARRA D'ISONZO,"Via Gorizia,142",45.912185,13.558281,POINT (13.558281 45.912185)
Autorizzazione unica (ordinaria),CARLINO Strada Oltregorgo,UL-F030056-0003_002,Impianto di recupero sabbie per ripascimento vasche di allevamento vongole CARLINO Strada Oltregorgo,MOLLUSCHICOLTURA MARANESE SOCIETA' AGRICOLA A RESPONSABILITA' LIMITATA,UD,CARLINO,Valle Spingion Strada Oltregorgo,45.767224,13.179474,POINT (13.179474 45.767224)
Procedura semplificata/AUA,"BUJA Via Precariacco, 2",F030013-0014_002,"Impianto di recupero inerti BUJA Via Precariacco, 2",MORENICA ASFALTI DI MIANI LAURA,UD,BUIA,"Casasola Via Precariacco,2",46.195969,13.090276,POINT (13.090276 46.195969)
Procedura semplificata/AUA,"PORDENONE Via Roveredo, Località Comina",PN-COM-190,Intervento di ripristino ambientale PORDENONE Via Roveredo,MORETTO GIUSEPPE S.R.L.,PN,PORDENONE,La Comina Via Roveredo,45.989693,12.639019,POINT (12.639019 45.989693)
Autorizzazione unica (ordinaria),PORDENONE Viale Grande 30/A,PN_XYMOB000,Impianto mobile di recupero inerti OM TRACK ARGO PORDENONE Viale Grande 30/A,MORETTO GIUSEPPE S.R.L.,PN,PORDENONE,"Viale Grande,30/A",45.981483,12.667997,POINT (12.667997 45.981483)
Procedura semplificata/AUA,PORDENONE Via Roveredo,PN-COM-184,Impianto di recupero inerti PORDENONE Via Roveredo,MORETTO GIUSEPPE S.R.L.,PN,PORDENONE,La Comina Via Roveredo,45.988705,12.639127,POINT (12.639127 45.988705)
Autorizzazione unica (ordinaria),"PORDENONE Via Maestra Vecchia, 7",PN_XYMOB002,"Impianto mobile  REV GCS 90 PORDENONE Via Maestra Vecchia, 7",MOZZON DANIELE S.R.L.,PN,PORDENONE,"Via Maestra Vecchia,7",45.976849,12.655306,POINT (12.655306 45.976849)
Procedura semplificata/AUA,ZOPPOLA Via Prà di Risi,PN-COM-274,Impianto di recupero inerti ZOPPOLA Via Prà di Risi,MOZZON DANIELE S.R.L.,PN,ZOPPOLA,Prà di Risi Via Prà di Risi,45.954731,12.735128,POINT (12.735128 45.954731)
Procedura semplificata/AUA,"MORSANO AL TAGLIAMENTO Via delle Rogge, San Paolo",PN-COM-235,"Impianto di compostaggiio verde MORSANO AL TAGLIAMENTO Via delle Rogge, San Paolo",NADALIN VALERIO,PN,MORSANO AL TAGLIAMENTO,San Paolo Via delle Rogge,45.872051,12.933955,POINT (12.933955 45.872051)
Autorizzazione unica (ordinaria),"PASIAN DI PRATO Via Colloredo, 80",F030129-0053_002,"Impianto di messa in riserva e preparazione per il riutilizzo PASIAN DI PRATO Via Colloredo, 80",NASCENTE -SOCIETA' COOPERATIVA SOCIALE A R.L.,UD,PASIAN DI PRATO,"via Colloredo,80",46.051796,13.178315,POINT (13.178315 46.051796)
Autorizzazione unica (ordinaria),"SAN GIOVANNI AL NATISONE Località La Brava, Polveriera",UD_UD137003,"Impianto di recupero inerti SAN GIOVANNI AL NATISONE Località La Brava, Polveriera",NATISON SCAVI S.R.L.,UD,SAN GIOVANNI AL NATISONE,Polveriera Località La Brava,45.951225,13.387656,POINT (13.387656 45.951225)
Autorizzazione AIA,"PALMANOVA Via Marinoni, 12",UD/AIA/94,"Impianto di recupero ed eliminazione rifiuti pericolosi PALMANOVA Via Marinoni, 12",NEDA AMBIENTE FVG S.R.L.,UD,PALMANOVA,"Via Gian Giacomo Marinoni,12",45.90452,13.291674,POINT (13.291674 45.90452)
Autorizzazione unica (ordinaria),UDINE Via Stiria,F030129-0070_002,Impianto di stoccaggio spazzamento stradale UDINE Via Stiria,NET - S.P.A.,UD,UDINE,Via Stiria,46.040457,13.241862,POINT (13.241862 46.040457)
Autorizzazione AIA,"SAN GIORGIO DI NOGARO Via Alessandro Volta, 11, Zona Industriale Aussa Corno",UD/AIA/133,"Impianto di selezione, cernita rifiuti urbani e compostaggio verde SAN GIORGIO DI NOGARO Via Alessandro Volta, 11, Zona Industriale Aussa Corno",NET - S.P.A.,UD,SAN GIORGIO DI NOGARO,"Zona Industriale Aussa-Corno Via Alessandro Volta,11",45.801697,13.21441,POINT (13.21441 45.801697)
Autorizzazione unica (ordinaria),"UDINE Via Gonars, 40",UD129002_007,"Centro di trasferenza UDINE Via Gonars, 40",NET - S.P.A.,UD,UDINE,"Via Gonars,40",46.027529,13.232238,POINT (13.232238 46.027529)
Procedura semplificata/AUA,"TOLMEZZO Via Paluzza, 67",COM_497,"Impianto di recupero inerti TOLMEZZO Via Paluzza, 67",SPIGA S.R.L..,UD,TOLMEZZO,"Via Paluzza,67",46.416782,13.016825,POINT (13.016825 46.416782)
Autorizzazione AIA,"SAN VITO AL TAGLIAMENTO Via Carnia, 9",PN/AIA/95,"Impianto di gestione rifiuti urbani e speciali non pericolosi e stoccaggio RAEE SAN VITO AL TAGLIAMENTO Via Carnia, 9",NEW ENERGY FVG SRL,PN,SAN VITO AL TAGLIAMENTO,"Zona Industriale Ponte Rosso Via Carnia,9",45.939836,12.885611,POINT (12.885611 45.939836)
Procedura semplificata/AUA,"BUJA Via Polvaries, 43",COM_293,"Impianto di recupero inerti BUJA Via Polvaries, 43",NICOLOSO SCAVI S.N.C. DI NICOLOSO ARMANDO & FIGLI,UD,BUIA,"Zona Industriale Polvaries Via Polvaries,43",46.209946,13.144058,POINT (13.144058 46.209946)
Procedura semplificata/AUA,REMANZACCO Via Oselin,F030091-0013_002,Impianto di messa in riserva inerti REMANZACCO Via Oselin,NOCENT RODOLFO,UD,REMANZACCO,Via Oselin,46.073261,13.30108,POINT (13.30108 46.073261)
Autorizzazione AIA,"SAN GIORGIO DI NOGARO Via Enrico Fermi, 33, Zona Industriale Aussa Corno",UD/AIA/15,"Attività di recupero metalli in acciaieria SAN GIORGIO DI NOGARO Via Enrico Fermi, 33, Zona Industriale Aussa Corno",NUNKI STEEL S.P.A.,UD,SAN GIORGIO DI NOGARO,"Zona Industriale Aussa-Corno Via Enrico Fermi,33",45.787828,13.231422,POINT (13.231422 45.787828)
Autorizzazione unica (ordinaria),"FONTANAFREDDA Via Lirutti, 117",PN_XYMOB009,Impianto mobile SUPERTRACK 504 PCV matr. 614110309 FONTANAFREDDA Via Lirutti 117,NUOVA CARLET S.R.L.,PN,FONTANAFREDDA,"Nave Via Gian Giacomo Lirutti,117",45.982351,12.500117,POINT (12.500117 45.982351)
Autorizzazione unica (ordinaria),"FONTANAFREDDA Via Lirutti, 117",PN_XYMOB004,Impianto mobile Franzoi Tri 1611 Fp FONTANAFREDDA Via Lirutti 117,NUOVA CARLET S.R.L.,PN,FONTANAFREDDA,"Nave Via Gian Giacomo Lirutti,117",45.982351,12.500117,POINT (12.500117 45.982351)
Procedura semplificata/AUA,"FONTANAFREDDA Via Lirutti, 117",PN-COM-272,Impianto di recupero inerti FONTANAFREDDA Via Lirutti 117,NUOVA CARLET S.R.L.,PN,FONTANAFREDDA,"Nave Via Gian Giacomo Lirutti,117",45.989007,12.499333,POINT (12.499333 45.989007)
Autorizzazione unica (ordinaria),MANZANO Via Trieste 4,UD_00003500,Impianto di stoccaggio e selezione rifiuti vari MANZANO Via Trieste 4,PACORIG F.LLI S.A.S. DI BRUNO PACORIG & C.,UD,MANZANO,"Via Trieste,4",45.983929,13.376784,POINT (13.376784 45.983929)
Procedura semplificata/AUA,"MONFALCONE Via Grado, 64",COM_951,"Impianto di recupero metalli MONFALCONE Via Grado, 64",PAHOR D.O.O. S.R.L.,GO,MONFALCONE,"Via Grado,64",45.7978,13.522419,POINT (13.522419 45.7978)
Procedura semplificata/AUA,PALUZZA Via Nazionale,COM_466,Impianto di recupero inerti PALUZZA Via Nazionale,PALLADINO ALEX,UD,PALUZZA,Zona Industriale Manacces - Lotto 5 Via Nazionale,46.518868,13.001882,POINT (13.001882 46.518868)
Autorizzazione unica (ordinaria),"UDINE Via della Valle, 55",UD_00002707,"Impianto di autodemolizione UDINE Via della Valle, 55",PASQUALATTO FRANCESCO DI PASQUALATTO ALESSANDRO,UD,UDINE,"Via della Valle,55",46.050447,13.221637,POINT (13.221637 46.050447)
Procedura semplificata/AUA,REANA DEL ROJALE Via Carbonaria 60/1,COM_422,Impianto di recupero inerti REANA DEL ROJALE Via Carbonaria 60/1,PERESSUTTI & C. - S.N.C.,UD,REANA DEL ROIALE,"Rizzolo Via Carbonaria,60/1",46.121662,13.249737,POINT (13.249737 46.121662)
Procedura semplificata/AUA,ARBA Strada Comunale del Molino,PN-COM-207,Impianto di recupero inerti ARBA Strada Comunale del Molino,PETRUCCO S.R.L.,PN,ARBA,San Rocco Via del Mulinat,46.141754,12.784136,POINT (12.784136 46.141754)
Procedura semplificata/AUA,"PINZANO AL TAGLIAMENTO Via Roma, 107",PN-COM-193,"Impianto di messa in riserva metalli PINZANO AL TAGLIAMENTO Via Roma, 107",POCI ROBERTO,PN,PINZANO AL TAGLIAMENTO,"Valeriano Via Roma,107",46.16605,12.917529,POINT (12.917529 46.16605)
Autorizzazione unica (ordinaria),"PORDENONE Via delle Villotte, 18",PN_PN033011,"Impianto di recupero rifiuti e RAEE PORDENONE Via delle Villotte, 18",PR ECOLOGY S.R.L.,PN,PORDENONE,"Via delle Villotte,18",45.999601,12.638927,POINT (12.638927 45.999601)
Procedura semplificata/AUA,"BRUGNERA Via Puja, 7",PN-COM-265,"Impianto di recupero energetico BRUGNERA Via Puja, 7",PRESOTTO INDUSTRIE MOBILI S.P.A.,PN,BRUGNERA,"Maron Via Puja,7",45.892391,12.559615,POINT (12.559615 45.892391)
Autorizzazione unica (ordinaria),"MONFALCONE Via Terme Romane, 5",GO_GO025006,"Impianto di deposito preliminare MONFALCONE Via Terme Romane, 5",PROGETTO MONFALCONE S.R.L.,GO,MONFALCONE,"Via Terme Romane,5",45.791153,13.56161,POINT (13.56161 45.791153)
Autorizzazione unica (ordinaria),MUGGIA Via Cavalieri di Malta,TS_TS003008,Impianto messa in riserva e preparazione per il riutilizzo RAEE MUGGIA Via Cavalieri di Malta,QUERCIAMBIENTE SOCIETA' COOPERATIVA SOCIALE,TS,MUGGIA,"Via Cavalieri di Malta,3",45.594492,13.801636,POINT (13.801636 45.594492)
Procedura semplificata/AUA,UDINE Via Slovenia 17,COM_562,Impianto di recupero metalli UDINE Via Slovenia 17,RAFFIN S.R.L.,UD,UDINE,"Zona Artigianale Udinese Via Slovenia,17",46.031532,13.24007,POINT (13.24007 46.031532)
Autorizzazione unica (ordinaria),UDINE Via Attimis 73,UD_00003072,Impianto di recupero metalli UDINE Via Attimis 73,RAFFIN S.R.L.,UD,UDINE,"Via Attimis,73",46.049795,13.219088,POINT (13.219088 46.049795)
Procedura semplificata/AUA,"CORDENONS Via della Carbonera, 49",F093017-0017_002,"Impianto di compostaggio CORDENONS Via della Carbonera, 49",RAGOGNA CLAUDIO & SARTORI PIA S.N.C.,PN,CORDENONS,"Via della Carbonera,49",46.012239,12.705628,POINT (12.705628 46.012239)
Procedura semplificata/AUA,"TAVAGNACCO Via Paderno, 3",COM_271,"Impianto di recupero metalli TAVAGNACCO Via Paderno, 3",R. CASINI S.R.L.,UD,TAVAGNACCO,"Via Paderno,3",46.093769,13.216499,POINT (13.216499 46.093769)
Autorizzazione AIA,"OVARO Via Cartiera, 27",UD/AIA/4,"Impianto di stoccaggio presso cartiera OVARO Via Cartiera, 27",R.D.M. OVARO S.p.A.,UD,OVARO,"Via Cartiera,27",46.481454,12.863063,POINT (12.863063 46.481454)
Autorizzazione AIA,"MANIAGO Via Ponte Giulio,62",PN/AIA/74,"Impianto di recupero in aia MANIAGO Via Ponte Giulio,62",RECYCLA S.R.L.,PN,MANIAGO,"Zona Industriale Campagna Via Ponte Giulio,62",46.148593,12.722231,POINT (12.722231 46.148593)
Procedura semplificata/AUA,"FONTANAFREDDA Via Percoto, 33",PN-COM-70,"Impianto di stoccaggio cartucce toner FONTANAFREDDA Via Percoto, 33",REPLAY RIG. MANO COMM. DI GIORDANI FRANCA,PN,FONTANAFREDDA,"Ronche Via Caterina Percoto,33",45.974792,12.589678,POINT (12.589678 45.974792)
Procedura semplificata/AUA,"MARTIGNACCO Via Maù, 21/5",COM_530,"Impianto di recupero inerti MARTIGNACCO Via Maù, 21/5",SPIGA S.R.L..,UD,MARTIGNACCO,"Via Maù,21/5",46.084431,13.145581,POINT (13.145581 46.084431)
Autorizzazione unica (ordinaria),"MONRUPINO Area autoporto, Fernetti",F032002-0005_003,"Impianto di stoccaggio MONRUPINO Area autoporto, Fernetti",RICICLO SYSTEM SOCIETA' A RESPONSABILITA' LIMITATA,TS,MONRUPINO,Fernetti Area Autoporto,45.69858,13.820891,POINT (13.820891 45.69858)
Procedura semplificata/AUA,"SEQUALS Via Roma, 2",F093042-0009_002,"Impianto di messa in riserva SEQUALS Via Roma, 2",RIOLI S.R.L.,PN,SEQUALS,"Via Roma,2",46.160993,12.835309,POINT (12.835309 46.160993)
Procedura semplificata/AUA,PORDENONE Viale Venezia 123,PN-COM-28,"Impianto di recupero metalli PORDENONE Viale Venezia, 123",ROTT-FERR S.R.L.,PN,PORDENONE,"Viale Venezia,123",45.97192,12.664973,POINT (12.664973 45.97192)
Procedura semplificata/AUA,"PAVIA DI UDINE Viale Grado, 142",COM_495,"Impianto di recupero metalli 67 PAVIA DI UDINE Viale Grado, 142",ROTT-FERR S.R.L.,UD,PAVIA DI UDINE,"Lauzacco Viale Grado,142",45.995708,13.276763,POINT (13.276763 45.995708)
Autorizzazione unica (ordinaria),"PAVIA DI UDINE Via Sammardenchia, Risano",F030101-0023_002,"Impianto di compostaggio verde PAVIA DI UDINE Via Sammardenchia, Risano",SAGER S.R.L.,UD,PAVIA DI UDINE,Risano Via Sammardenchia,45.978556,13.242946,POINT (13.242946 45.978556)
Procedura semplificata/AUA,"VALVASONE ARZENE Via delle Industrie, 2",F030027-0020_002,"Impianto di recupero VALVASONE ARZENE Via delle Industrie, 2",SALES PALLETS S.N.C. DI ROIATTI ALESSANDRO E LIANI FRANCESCA,PN,VALVASONE ARZENE,"via delle industrie,2",45.962719,12.869807,POINT (12.869807 45.962719)
Autorizzazione unica (ordinaria),"MEDEA Strada Provinciale n.6, km 5, Località Nella Torr",F031011-0005_002,"Impianto di recupero inerti MEDEA Strada Provinciale n.6, km 5, Località Nella Torr",S.A.L.I.T. S.R.L.,GO,MEDEA,"Nella Torr Strada Provinciale n.6,km 5",45.910264,13.39293,POINT (13.39293 45.910264)
Procedura semplificata/AUA,"MONTEREALE VALCELLINA Via Zona Industriale, 1",PN-COM-1,"Impianto di recupero inerti MONTEREALE VALCELLINA Via Zona Industriale, 1",S. ANTONINO - SOCIETA A RESPONSABILITA LIMITATA,PN,MONTEREALE VALCELLINA,"Grizzo Zona Industriale,1",46.140408,12.659399,POINT (12.659399 46.140408)
Procedura semplificata/AUA,"PASIAN DI PRATO Via Cristoforo Colombo, 185",COM_263,"Impianto di stoccaggio oli PASIAN DI PRATO Via Cristoforo Colombo, 185/5",S.A.P.I.-SOCIETA' AZIONARIA PRODOTTI INDUSTRIALI-SOCIETA' PER AZIONI,UD,PASIAN DI PRATO,"Via Cristoforo Colombo,185",46.041696,13.182147,POINT (13.182147 46.041696)
Autorizzazione unica (ordinaria),"TOLMEZZO Via Lovea, 19/B",F030121-0018_002,"Impianto mobile ""Powerscreen Chieftain 1400 T"" TOLMEZZO Via Lovea, 19/B",SCARSINI CALCESTRUZZI S.R.L.,UD,TOLMEZZO,"Via Lovea,19/B",,,
Autorizzazione unica (ordinaria),"TOLMEZZO Via Lovea, 14",UD_XYMOB032,Impianto mobile recupero inerti TOLMEZZO Via Lovea 14,"SCARSINI GIULIO EREDI DI SCARSINI ORLANDO, FIORENZO & GIOVANNI - S.N.C.",UD,TOLMEZZO,"Illegio Via Lovea,14",,,
Procedura semplificata/AUA,CORMONS Località Molin Nuovo,COM_807,Impianto di recupero inerti CORMONS Località Molin Nuovo,SCAVI SERGIO SGUBIN S.R.L.,GO,CORMONS,Cave di Brazzano Località Molin Nuovo,45.964,13.448301,POINT (13.448301 45.964)
Autorizzazione unica (ordinaria),"TRIESTE Via Roma, 30",TS_IMPMOBSEA,"Impianto mobile di trattamento rifiuti entro mezzo nautico ""Maurizio"" TRIESTE Via Roma 30",SEA SERVICE S.R.L.,TS,TRIESTE,"Via Roma,30",,,
Autorizzazione unica (ordinaria),"TRIESTE Via Roma, 30",TS_XYMOB001,"Impianto mobile di smaltimento in Motocisterna ""Lago Magadi"" TRIESTE Via Roma, 30",SEA SERVICE S.R.L.,TS,TRIESTE,"Via Roma,30",,,
Procedura semplificata/AUA,"TRIESTE Via Caboto, 19/11",F032006-0111_002,"Impianto di stoccaggio TRIESTE Via Caboto, 19/11",SEA SERVICE S.R.L.,TS,TRIESTE,"Via Giovanni e Sebastiano Caboto,19/11",45.612319,13.805758,POINT (13.805758 45.612319)
Autorizzazione unica (ordinaria),"FONTANAFREDDA Via Giovanni da Gemona, 22",PN_PN022004,"Impianto di autodemolizione FONTANAFREDDA Via Giovanni da Gemona, 22",SERENISSIMA S.A.S. DI RIGO DAVIDE & C.,PN,FONTANAFREDDA,"Via Giovanni da Gemona,22",45.965634,12.568739,POINT (12.568739 45.965634)
Procedura semplificata/AUA,"UDINE Via Calatafimi, 21",F030129-0051_002,"Impianto di recupero inerti UDINE Via Calatafimi, 21",SFA S.P.A.,UD,UDINE,"Via Calatafimi,21",46.052283,13.234859,POINT (13.234859 46.052283)
Autorizzazione AIA,AVIANO Via De Zan 64,PN/AIA/101,"Impianto di selezione e compostaggio di rifiuti urbani e produzione di css AVIANO Via De Zan, 64",S.N.U.A. S.R.L.,PN,AVIANO,"Via De Zan,64",46.057316,12.62458,POINT (12.62458 46.057316)
Procedura semplificata/AUA,"MORTEGLIANO Strada Vicinale, Lavariano",COM_993,"Impianto di messa in riserva biodegradabili MORTEGLIANO Strada Vicinale, Lavariano",SOC. AGR. FRIUL PRATI S.S. DI LUCCA G. & M.,UD,MORTEGLIANO,Lavariano Strada Vicinale,45.961979,13.224599,POINT (13.224599 45.961979)
Autorizzazione unica (ordinaria),"BUDOIA Via Pordenone, 64",PN_PN008001,"Impianto di autodemolizione BUDOIA Via Pordenone, 64",SOCCORSO STRADALE - AUTODEMOLIZIONE - WILMER DI FORT IVANA E C. -S.A.S.,PN,BUDOIA,"Via Pordenone,64",46.03528,12.547974,POINT (12.547974 46.03528)
Procedura semplificata/AUA,BUDOIA Via Pordenone,PN-COM-247,Impianto di compostaggio verde BUDOIA Via Pordenone,SOCIETA' AGRICOLA SEMPLICE TWIG S.S.,PN,BUDOIA,"Via Pordenone,61",46.027457,12.570338,POINT (12.570338 46.027457)
Autorizzazione unica (ordinaria),TRIESTE Porto di Grignano,TS_TS006009,Impianto di raccolta e trattamento rifiuti prodotti sulle unità da diporto TRIESTE Porto di Grignano,SOCIETA' NAUTICA GRIGNANO ASS. SPORTIVA DILETTANTISTICA,TS,TRIESTE,Grignano Area Porto di Grignano,45.705247,13.711968,POINT (13.711968 45.705247)
Procedura semplificata/AUA,"MONFALCONE Via Grado, 80",COM_895,"Impianto di messa in riserva di rifiuti vari MONFALCONE Via Grado, 80",SORANZIO FEDERICA & BUSSANICH S.N.C.,GO,MONFALCONE,"Via Grado,80",45.796902,13.518832,POINT (13.518832 45.796902)
Autorizzazione unica (ordinaria),"GORIZIA Via del Cotonificio, 32",F031007-0020_002,"Impianto mobile di recupero RAEE GORIZIA Via del Cotonificio, 32",SPHERAE S.R.L.,GO,GORIZIA,"Via del Cotonificio,32",,,
Autorizzazione unica (ordinaria),"GORIZIA Via del Cotonificio, 32",GO_GO007004,"Impianto di recupero raee GORIZIA Via del Cotonificio, 32",SPHERAE S.R.L.,GO,GORIZIA,"Via del Cotonificio,32",45.945502,13.601059,POINT (13.601059 45.945502)
Autorizzazione unica (ordinaria),"TOLMEZZO Via Paluzza, 67",F030121-0019_002,"Impianto mobile Omtrack Apollo n. 99C05900T TOLMEZZO Via Paluzza, 67",SPIGA S.R.L..,UD,TOLMEZZO,"Via Paluzza,67",,,
Procedura semplificata/AUA,"MANZANO Vittorio Veneto, 69",F030101-0022_002,"Impianto di messa in riserva MANZANO Vittorio Veneto, 69",STEEL DI EDOARDO DI LENARDO & C. S.A.S.,UD,MANZANO,"Oleis Via Vittorio Veneto,69",46.023246,13.39444,POINT (13.39444 46.023246)
Autorizzazione unica (ordinaria),"FIUMICELLO Via Brancolo, 5/A",F030038-0010_008,Impianto mobile  Vesuvio SUPER F1000 CV,S.T.R. SRL,UD,FIUMICELLO,"Papariano Via Brancolo,5/A",,,
Autorizzazione unica (ordinaria),"FIUMICELLO Via Brancolo, 5/A",UL-F030038-0010_009,"Impianto mobile Om Tk162 Ulisse 96 F FIUMICELLO Via Brancolo, 5/A",S.T.R. SRL,UD,FIUMICELLO,"Papariano Via Brancolo,5/A",45.803581,13.427182,POINT (13.427182 45.803581)
Autorizzazione unica (ordinaria),"FIUMICELLO Via Brancolo, 5/A",UD_XYMOB005,Impianto mobile OM Apollo mat. 99E11000T,S.T.R. SRL,UD,FIUMICELLO,"Papariano Via Brancolo,5/A",,,
Autorizzazione unica (ordinaria),"FIUMICELLO Via Brancolo, 5/A",UD_XYMOB014,Impianto mobile Keestrack mat. n 400,S.T.R. SRL,UD,FIUMICELLO,"Papariano Via Brancolo,5/A",,,
Procedura semplificata/AUA,"ROVEREDO IN PIANO  Via IV Novembre, 30 Località Lovera",PN-COM-273,"Impianto di recupero inerti ROVEREDO IN PIANO Via IV Novembre, 30 Località Lovera",SUPERBETON S.P.A.,PN,ROVEREDO IN PIANO,"Lovera Via IV Novembre,30",45.998573,12.598486,POINT (12.598486 45.998573)
Autorizzazione unica (ordinaria),"CIVIDALE DEL FRIULI Via Aquileia, 25",F026083-0003_002,"Impianto di recupero inerti CIVIDALE DEL FRIULI Via Aquileia, 25",SUPERBETON S.P.A.,UD,CIVIDALE DEL FRIULI,"Via Aquileia,25",46.061388,13.419682,POINT (13.419682 46.061388)
Procedura semplificata/AUA,"ZOPPOLA Via Pra' di Risi, 2",F026083-0002_002,"Impianto di recupero ceneri ZOPPOLA Via Pra' di Risi, 2",SUPERBETON S.P.A.,PN,ZOPPOLA,"Via Pra' di Risi,2",45.960403,12.738181,POINT (12.738181 45.960403)
Autorizzazione unica (ordinaria),"FIUME VENETO Via dei Pinali, 29/31",PN_PN021000,"Impianto di recupero metalli e raee FIUME VENETO Via dei Pinali, 29/31",TELLFER S.R.L.,PN,FIUME VENETO,"Cimpello Via dei Pinali,29/31",45.914787,12.68409,POINT (12.68409 45.914787)
Autorizzazione unica (ordinaria),MORTEGLIANO Località Braiduzzis,F030062-0023_002,Impianto di stoccaggio fanghi MORTEGLIANO Località Braiduzzis,TERRANOVA S.R.L.,UD,MORTEGLIANO,Località Braiduzzis,45.932983,13.199331,POINT (13.199331 45.932983)
Procedura semplificata/AUA,CORDENONS Via Campagnuta,PN-COM-258,Impianto di compostaggio verde CORDENONS Via Campagnuta,TERRAVERDE S.N.C. DI DEL PUP ANTONIO & C.,PN,CORDENONS,Via Campagnutta,46.011297,12.711004,POINT (12.711004 46.011297)
Autorizzazione unica (ordinaria),"PREMARIACCO Via Olimpia, 18",F100003-0003_002,"Impianto di recupero rifiuti tessili PREMARIACCO Via Olimpia, 18",TESMAPRI S.P.A.,UD,PREMARIACCO,"Zona Industriale Paderno Via Olimpia,18",46.045796,13.388015,POINT (13.388015 46.045796)
